ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent of people tested who tested positive
10038,Chinatown/Financial District,Manhattan,248,1124.82,122.46,18.69
10039,Central Harlem (North)/Washington Heights (South),Manhattan,510,1927.62,211.66,25.3
10040,Washington Heights (North),Manhattan,1101,2457.14,236.56,28.04
10044,Roosevelt Island,Manhattan,233,1991.4,282.04,25.44
10065,Lenox Hill/Upper East Side,Manhattan,327,1125.2,89.47,13.15
10069,Lincoln Square,Manhattan,54,851.99,31.56,13.95
10075,Lenox Hill/Upper East Side,Manhattan,421,1781.32,190.4,18.64
10128,Upper East Side/Yorkville,Manhattan,628,1023.6,58.68,14.49
10280,Battery Park City,Manhattan,50,519.82,0,11.68
10282,Battery Park City,Manhattan,70,1269.16,271.96,22.01
10301,Silver Lake/St. George,Staten Island,1167,2945.96,249.91,27.92
10302,Elm Park,Staten Island,631,3361.03,165.12,33.96
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,858,3270.86,156.3,31.25
10304,New Dorp/Todt Hill,Staten Island,1372,3232.14,383.99,30.03
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1222,2871.17,173.87,28.5
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1431,2665.52,137.84,25.76
10307,Tottenville,Staten Island,376,2471.32,92.02,27.77
10308,Great Kills,Staten Island,629,2122.47,84.36,25.06
10309,Charleston/Prince's Bay/Woodrow,Staten Island,834,2526.89,90.9,26.27
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,715,2995.27,138.24,27.25
10312,Annadale/Rossville,Staten Island,1485,2462.51,96.18,26.53
10314,Bloomfield/Freshkills Park,Staten Island,2608,2871.16,199.26,28.67
10451,Concourse/Melrose,Bronx,1593,3338.31,305.96,31.43
10452,Concourse/Highbridge,Bronx,2338,3034.98,201.21,31.3
10453,Morris Heights/Mount Hope/University Heights,Bronx,2327,2866.33,194.62,32.37
10454,Mott Haven/Port Morris,Bronx,1120,2930.14,264.24,28.88
10455,Mott Haven,Bronx,1258,2982.85,227.63,32.11
